AREA_A,AREA_B,DIST_KM
E07000007,E07000007,0
E07000006,E07000007,18.706
E07000005,E07000007,13.429
E07000004,E07000007,27.457
E07000010,E07000007,118.029
E07000012,E07000007,84.835
E07000009,E07000007,108.47
E07000011,E07000007,90.327
E07000008,E07000007,89.434
E07000029,E07000007,352.117
E07000028,E07000007,392.657
E07000031,E07000007,324.251
E07000026,E07000007,377.389
E07000030,E07000007,351.128
E07000027,E07000007,319.283
E07000037,E07000007,204.764
E07000039,E07000007,140.939
E07000036,E07000007,147.603
E07000038,E07000007,180.585
E07000032,E07000007,159.798
E07000033,E07000007,177.059
E07000035,E07000007,175.038
E07000034,E07000007,183.153
E07000043,E07000007,225.21
E07000040,E07000007,194.966
E07000045,E07000007,230.165
E07000047,E07000007,251.508
E07000042,E07000007,209.685
E07000041,E07000007,214.739
E07000051,E07000007,141.577
E07000048,E07000007,119.859
E07000052,E07000007,156.241
E07000049,E07000007,118.45
E07000050,E07000007,129.133
E07000053,E07000007,162.907
E07000063,E07000007,102.743
E07000064,E07000007,122.241
E07000065,E07000007,103.675
E07000061,E07000007,123.041
E07000062,E07000007,129.911
E07000068,E07000007,77.938
E07000075,E07000007,112.695
E07000072,E07000007,66.988
E07000076,E07000007,135.534
E07000077,E07000007,81.94
E07000070,E07000007,90.021
E07000071,E07000007,118.346
E07000074,E07000007,110.748
E07000067,E07000007,102.248
E07000073,E07000007,65.202
E07000066,E07000007,88.984
E07000069,E07000007,98.494
E07000080,E07000007,117.355
E07000079,E07000007,76.718
E07000082,E07000007,103.033
E07000083,E07000007,93.724
E07000081,E07000007,100.865
E07000078,E07000007,91.124
E07000084,E07000007,49.644
E07000091,E07000007,104.53
E07000086,E07000007,87.286
E07000085,E07000007,64.65
E07000094,E07000007,74.633
E07000093,E07000007,75.473
E07000089,E07000007,40.929
E07000088,E07000007,96.892
E07000087,E07000007,93.083
E07000090,E07000007,91.004
E07000092,E07000007,41.925
E07000102,E07000007,24.572
E07000098,E07000007,37.082
E07000095,E07000007,53.758
E07000096,E07000007,23.775
E07000242,E07000007,60.664
E07000240,E07000007,35.412
E07000241,E07000007,44.879
E07000099,E07000007,55.058
E07000103,E07000007,28.573
E07000243,E07000007,51.679
E07000116,E07000007,105.175
E07000112,E07000007,142.369
E07000111,E07000007,80.212
E07000115,E07000007,91.595
E07000114,E07000007,153.238
E07000105,E07000007,127.329
E07000106,E07000007,139.254
E07000108,E07000007,154.205
E07000110,E07000007,107.414
E07000113,E07000007,118.139
E07000107,E07000007,77.968
E07000109,E07000007,88.254
E07000127,E07000007,259.08
E07000121,E07000007,298.002
E07000118,E07000007,255.865
E07000126,E07000007,264.347
E07000125,E07000007,247.723
E07000119,E07000007,276.855
E07000123,E07000007,272.07
E07000128,E07000007,285.935
E07000122,E07000007,263.295
E07000124,E07000007,274.17
E07000120,E07000007,257.636
E07000117,E07000007,255.253
E07000132,E07000007,114.587
E07000134,E07000007,129.243
E07000133,E07000007,127.643
E07000131,E07000007,99.89
E07000129,E07000007,106.307
E07000130,E07000007,123.1
E07000135,E07000007,106.057
E07000142,E07000007,195.319
E07000141,E07000007,135.586
E07000140,E07000007,138.496
E07000136,E07000007,156.999
E07000139,E07000007,161.263
E07000137,E07000007,187.067
E07000138,E07000007,176.161
E07000145,E07000007,202.255
E07000149,E07000007,172.674
E07000146,E07000007,148.666
E07000143,E07000007,153.995
E07000148,E07000007,180.493
E07000155,E07000007,54.945
